id,name,skill,age,gender,availability_status,rating,language,hobli
46,Labor 46,Sapling Planting,39,female,part-time,3.9,Telugu,Kumta Hobli
47,Labor 47,Timber Harvesting,47,male,unavailable,2.1,Punjabi,Honavar Hobli
48,Labor 48,Beekeeping (for Pollination),44,male,available,1.7,Hindi,Honavar Hobli
49,Labor 49,Irrigation Technician,28,female,part-time,1.1,Kannada,Jalahalli Hobli
50,Labor 50,Land Leveler,54,male,unavailable,2.1,Telugu,Yelahanka Hobli
51,Labor 51,Crop Duster Operator,54,male,available,3.3,Punjabi,Hebbal Hobli
52,Labor 52,Harvesting Laborer,46,female,part-time,4.3,Hindi,Hennur Hobli
53,Labor 53,Seeder Operator,34,female,unavailable,2.4,Kannada,Banaswadi Hobli
54,Labor 54,Fertilizer Applicator,28,male,available,4.6,Telugu,Anekal Hobli
55,Labor 55,Soil Preparation Laborer,23,female,part-time,2.4,Punjabi,Koramangala Hobli
56,Labor 56,Weeder,57,male,unavailable,4,Hindi,Begur Hobli
57,Labor 57,Farm Laborer,30,male,available,1.1,Kannada,Banashankari Hobli
58,Labor 58,Livestock Caretaker,45,male,part-time,2.9,Telugu,Nazarabad Hobli
59,Labor 59,Water Carrier,26,female,unavailable,4.8,Punjabi,Bannimantap Hobli
60,Labor 60,Plowing (Traditional & Tractor),26,male,available,2.6,Hindi,Hinkal Hobli
61,Labor 61,Leveling and Soil Tillage,32,female,part-time,4.1,Kannada,T. Narasipura Hobli
62,Labor 62,Composting/Manure Application,23,male,unavailable,3,Telugu,Nanjangud Hobli
63,Labor 63,Mulching Techniques,32,male,available,4.9,Punjabi,Muddur Hobli
64,Labor 64,Seed Sowing (Manual & Machine),31,female,part-time,1.2,Hindi,Kammalapura Hobli
65,Labor 65,"Seedling Transplantation (Paddy, Vegetables)",38,male,unavailable,4.6,Kannada,Savadatti Hobli
66,Labor 66,Nursery Management,48,female,available,4.6,Telugu,Murgod Hobli
67,Labor 67,Seed Treatment,22,female,part-time,4.2,Punjabi,Kakati Hobli
68,Labor 68,"Weeding (Manual, Chemical, Mechanical)",40,male,unavailable,3.4,Hindi,Kittur Hobli
69,Labor 69,"Fertilizer Application (DAP, Urea, Organic)",29,female,available,4.6,Kannada,Hukeri Hobli
70,Labor 70,Pest/Disease Identification & Management,55,female,part-time,4.1,Telugu,Chinchkheda Hobli
71,Labor 71,"Pruning and Training (Fruit Trees, Vineyards)",51,female,unavailable,4.3,Punjabi,Gokak Hobli
72,Labor 72,"Grain Harvesting (Wheat, Rice, Maize)",25,male,available,3,Hindi,Kavoor Hobli
73,Labor 73,"Fruit Picking (Mango, Banana, Citrus)",29,female,part-time,2.5,Kannada,Suratkal Hobli
74,Labor 74,"Vegetable Harvesting (Tomato, Onion, Potato)",36,female,unavailable,3.3,Telugu,Bajpe Hobli
75,Labor 75,Tea/Coffee Plucking,60,male,available,4.6,Punjabi,Mulki Hobli
76,Labor 76,Threshing (Manual & Machine),59,male,part-time,3.7,Hindi,Puttur Hobli
77,Labor 77,Winnowing and Cleaning,18,male,unavailable,2.1,Kannada,Bellare Hobli
78,Labor 78,Grading and Sorting,26,male,available,1.5,Telugu,Kadaba Hobli
79,Labor 79,"Storage (Grain Silos, Cold Storage)",28,female,part-time,2.8,Punjabi,Chikkamagaluru Hobli
80,Labor 80,Tractor Operations,49,male,unavailable,2.7,Hindi,Mudigere Hobli
81,Labor 81,Plowing/Harrowing,22,male,available,4.9,Kannada,Kadur Hobli
82,Labor 82,Seeding/Planting Attachments,21,female,part-time,2.6,Telugu,Tarikere Hobli
83,Labor 83,Trailer Handling,33,female,unavailable,1.7,Punjabi,Koppa Hobli
84,Labor 84,Drip Irrigation Setup,59,male,available,2.3,Hindi,N.R. Pura Hobli
85,Labor 85,Sprinkler Operation,58,female,part-time,4.1,Kannada,Bhadravati Hobli
86,Labor 86,Pump Maintenance,47,male,unavailable,3.1,Telugu,Tumkur Hobli
87,Labor 87,Combine Harvester Operation,31,female,available,4.8,Punjabi,Sira Hobli
88,Labor 88,Power Tiller Usage,50,female,part-time,3.8,Hindi,Madhugiri Hobli
89,Labor 89,Thresher Operation,41,female,unavailable,2.6,Kannada,Pavagada Hobli
90,Labor 90,Animal Husbandry,26,female,available,1.5,Telugu,Tiptur Hobli
91,Labor 91,"Dairy Farming (Milking, Feed Management)",37,female,part-time,1.4,Punjabi,Gubbi Hobli
92,Labor 92,"Poultry Care (Vaccination, Brooding)",52,female,unavailable,2.2,Hindi,Kunigal Hobli
93,Labor 93,Goat/Sheep Rearing,27,male,available,2.6,Kannada,Karwar Hobli
94,Labor 94,Fisheries,35,female,part-time,4.2,Telugu,Bhatkal Hobli
95,Labor 95,Pond Preparation,43,female,unavailable,1.9,Punjabi,Kumta Hobli
96,Labor 96,Fish Feeding Techniques,30,female,available,1.5,Hindi,Honavar Hobli
97,Labor 97,Net Casting/Harvesting,26,female,part-time,2.6,Kannada,Honavar Hobli
98,Labor 98,Organic Farming,29,male,unavailable,4,Telugu,Jalahalli Hobli
99,Labor 99,Vermicomposting,37,male,available,3.8,Punjabi,Yelahanka Hobli
100,Labor 100,Biofertilizer Application,36,male,part-time,1.1,Hindi,Hebbal Hobli
101,Labor 101,"Natural Pest Control (Neem, Cow Urine)",57,female,unavailable,4.8,Kannada,Hennur Hobli
102,Labor 102,Greenhouse Management,21,female,available,3.5,Telugu,Banaswadi Hobli
103,Labor 103,Polyhouse Maintenance,33,female,part-time,3.7,Punjabi,Anekal Hobli
104,Labor 104,Hydroponics/Aquaponics,41,female,unavailable,3.6,Hindi,Koramangala Hobli
105,Labor 105,Agroforestry,32,female,available,2.8,Kannada,Begur Hobli
106,Labor 106,Sapling Planting,24,male,part-time,4.5,Telugu,Banashankari Hobli
107,Labor 107,Timber Harvesting,18,male,unavailable,4.2,Punjabi,Nazarabad Hobli
108,Labor 108,Beekeeping (for Pollination),57,male,available,2.2,Hindi,Bannimantap Hobli
109,Labor 109,Irrigation Technician,53,male,part-time,3.7,Kannada,Hinkal Hobli
110,Labor 110,Land Leveler,49,female,unavailable,4.3,Telugu,T. Narasipura Hobli
111,Labor 111,Crop Duster Operator,30,male,available,1.6,Punjabi,Nanjangud Hobli
112,Labor 112,Harvesting Laborer,50,male,part-time,2.4,Hindi,Muddur Hobli
113,Labor 113,Seeder Operator,49,female,unavailable,4.7,Kannada,Kammalapura Hobli
114,Labor 114,Fertilizer Applicator,49,female,available,1.6,Telugu,Savadatti Hobli
115,Labor 115,Soil Preparation Laborer,25,male,part-time,2.5,Punjabi,Murgod Hobli
116,Labor 116,Weeder,50,female,unavailable,4.8,Hindi,Kakati Hobli
117,Labor 117,Farm Laborer,55,male,available,3.5,Kannada,Kittur Hobli
118,Labor 118,Livestock Caretaker,53,male,part-time,3.4,Telugu,Hukeri Hobli
119,Labor 119,Water Carrier,33,male,unavailable,4.8,Punjabi,Chinchkheda Hobli
120,Labor 120,Plowing (Traditional & Tractor),48,female,available,2.1,Hindi,Gokak Hobli
121,Labor 121,Leveling and Soil Tillage,33,male,part-time,4.8,Kannada,Kavoor Hobli
122,Labor 122,Composting/Manure Application,50,female,unavailable,1.8,Telugu,Suratkal Hobli
123,Labor 123,Mulching Techniques,32,male,available,3,Punjabi,Bajpe Hobli
124,Labor 124,Seed Sowing (Manual & Machine),28,female,part-time,2.7,Hindi,Mulki Hobli
125,Labor 125,"Seedling Transplantation (Paddy, Vegetables)",30,male,unavailable,1.3,Kannada,Puttur Hobli
126,Labor 126,Nursery Management,49,male,available,2.1,Telugu,Bellare Hobli
127,Labor 127,Seed Treatment,53,male,part-time,2.5,Punjabi,Kadaba Hobli
128,Labor 128,"Weeding (Manual, Chemical, Mechanical)",51,female,unavailable,2.8,Hindi,Chikkamagaluru Hobli
129,Labor 129,"Fertilizer Application (DAP, Urea, Organic)",60,female,available,1.3,Kannada,Mudigere Hobli
130,Labor 130,Pest/Disease Identification & Management,40,male,part-time,2.7,Telugu,Kadur Hobli
131,Labor 131,"Pruning and Training (Fruit Trees, Vineyards)",60,female,unavailable,1.1,Punjabi,Tarikere Hobli
132,Labor 132,"Grain Harvesting (Wheat, Rice, Maize)",34,female,available,3.9,Hindi,Koppa Hobli
133,Labor 133,"Fruit Picking (Mango, Banana, Citrus)",33,female,part-time,4.3,Kannada,N.R. Pura Hobli
134,Labor 134,"Vegetable Harvesting (Tomato, Onion, Potato)",33,male,unavailable,2.9,Telugu,Bhadravati Hobli
135,Labor 135,Tea/Coffee Plucking,37,female,available,4.7,Punjabi,Tumkur Hobli
136,Labor 136,Threshing (Manual & Machine),20,male,part-time,1.8,Hindi,Sira Hobli
137,Labor 137,Winnowing and Cleaning,44,male,unavailable,2.1,Kannada,Madhugiri Hobli
138,Labor 138,Grading and Sorting,23,female,available,3.5,Telugu,Pavagada Hobli
139,Labor 139,"Storage (Grain Silos, Cold Storage)",49,female,part-time,4.2,Punjabi,Tiptur Hobli
140,Labor 140,Tractor Operations,41,male,unavailable,2,Hindi,Gubbi Hobli
141,Labor 141,Plowing/Harrowing,24,female,available,2.9,Kannada,Kunigal Hobli
142,Labor 142,Seeding/Planting Attachments,34,female,part-time,2.6,Telugu,Karwar Hobli
143,Labor 143,Trailer Handling,36,female,unavailable,3.2,Punjabi,Bhatkal Hobli
144,Labor 144,Drip Irrigation Setup,54,female,available,2.4,Hindi,Kumta Hobli
145,Labor 145,Sprinkler Operation,19,male,part-time,2.9,Kannada,Honavar Hobli
146,Labor 146,Pump Maintenance,18,female,unavailable,2.2,Telugu,Honavar Hobli
147,Labor 147,Combine Harvester Operation,37,male,available,3.9,Punjabi,Jalahalli Hobli
148,Labor 148,Power Tiller Usage,33,female,part-time,1.5,Hindi,Yelahanka Hobli
149,Labor 149,Thresher Operation,48,male,unavailable,3.4,Kannada,Hebbal Hobli
150,Labor 150,Animal Husbandry,40,female,available,3.7,Telugu,Hennur Hobli
151,Labor 151,"Dairy Farming (Milking, Feed Management)",52,female,part-time,3.2,Punjabi,Banaswadi Hobli
152,Labor 152,"Poultry Care (Vaccination, Brooding)",49,male,unavailable,5,Hindi,Anekal Hobli
153,Labor 153,Goat/Sheep Rearing,55,male,available,2.7,Kannada,Koramangala Hobli
154,Labor 154,Fisheries,58,male,part-time,1,Telugu,Begur Hobli
155,Labor 155,Pond Preparation,57,female,unavailable,1.9,Punjabi,Banashankari Hobli
156,Labor 156,Fish Feeding Techniques,31,female,available,3,Hindi,Nazarabad Hobli
157,Labor 157,Net Casting/Harvesting,53,female,part-time,3.2,Kannada,Bannimantap Hobli
158,Labor 158,Organic Farming,60,male,unavailable,1.9,Telugu,Hinkal Hobli
159,Labor 159,Vermicomposting,37,female,available,2.8,Punjabi,T. Narasipura Hobli
160,Labor 160,Biofertilizer Application,42,female,part-time,4.8,Hindi,Nanjangud Hobli
161,Labor 161,"Natural Pest Control (Neem, Cow Urine)",24,female,unavailable,4.5,Kannada,Muddur Hobli
162,Labor 162,Greenhouse Management,50,male,available,3.1,Telugu,Kammalapura Hobli
163,Labor 163,Polyhouse Maintenance,25,male,part-time,4.1,Punjabi,Savadatti Hobli
164,Labor 164,Hydroponics/Aquaponics,21,male,unavailable,1.7,Hindi,Murgod Hobli
165,Labor 165,Agroforestry,44,female,available,1.5,Kannada,Kakati Hobli
166,Labor 166,Sapling Planting,53,female,part-time,1.7,Telugu,Kittur Hobli
167,Labor 167,Timber Harvesting,48,male,unavailable,1.5,Punjabi,Hukeri Hobli
168,Labor 168,Beekeeping (for Pollination),36,female,available,3.5,Hindi,Chinchkheda Hobli
169,Labor 169,Irrigation Technician,50,female,part-time,1.8,Kannada,Gokak Hobli
170,Labor 170,Land Leveler,33,male,unavailable,3.5,Telugu,Kavoor Hobli
171,Labor 171,Crop Duster Operator,49,female,available,3.7,Punjabi,Suratkal Hobli
172,Labor 172,Harvesting Laborer,19,male,part-time,4.5,Hindi,Bajpe Hobli
173,Labor 173,Seeder Operator,53,male,unavailable,3.7,Kannada,Mulki Hobli
174,Labor 174,Fertilizer Applicator,23,female,available,4,Telugu,Puttur Hobli
175,Labor 175,Soil Preparation Laborer,55,male,part-time,4.5,Punjabi,Bellare Hobli
176,Labor 176,Weeder,22,female,unavailable,1.4,Hindi,Kadaba Hobli
177,Labor 177,Farm Laborer,56,male,available,4.4,Kannada,Chikkamagaluru Hobli
178,Labor 178,Livestock Caretaker,57,male,part-time,3.1,Telugu,Mudigere Hobli
179,Labor 179,Water Carrier,39,female,unavailable,4.3,Punjabi,Kadur Hobli
180,Labor 180,Plowing (Traditional & Tractor),43,male,available,2.2,Hindi,Tarikere Hobli
181,Labor 181,Leveling and Soil Tillage,29,male,part-time,2.7,Kannada,Koppa Hobli
182,Labor 182,Composting/Manure Application,50,female,unavailable,2.3,Telugu,N.R. Pura Hobli
183,Labor 183,Mulching Techniques,20,male,available,2.3,Punjabi,Bhadravati Hobli
184,Labor 184,Seed Sowing (Manual & Machine),49,female,part-time,2.5,Hindi,Tumkur Hobli
185,Labor 185,"Seedling Transplantation (Paddy, Vegetables)",48,male,unavailable,1,Kannada,Sira Hobli
186,Labor 186,Nursery Management,50,female,available,3.4,Telugu,Madhugiri Hobli
187,Labor 187,Seed Treatment,46,female,part-time,4.2,Punjabi,Pavagada Hobli
188,Labor 188,"Weeding (Manual, Chemical, Mechanical)",29,female,unavailable,1.4,Hindi,Tiptur Hobli
189,Labor 189,"Fertilizer Application (DAP, Urea, Organic)",42,female,available,1.4,Kannada,Gubbi Hobli
190,Labor 190,Pest/Disease Identification & Management,50,male,part-time,1.9,Telugu,Kunigal Hobli
191,Labor 191,"Pruning and Training (Fruit Trees, Vineyards)",47,female,unavailable,2.4,Punjabi,Karwar Hobli
192,Labor 192,"Grain Harvesting (Wheat, Rice, Maize)",49,female,available,4.5,Hindi,Bhatkal Hobli
193,Labor 193,"Fruit Picking (Mango, Banana, Citrus)",40,male,part-time,3.3,Kannada,Kumta Hobli
194,Labor 194,"Vegetable Harvesting (Tomato, Onion, Potato)",50,male,unavailable,1.9,Telugu,Honavar Hobli
195,Labor 195,Tea/Coffee Plucking,51,male,available,4.4,Punjabi,Honavar Hobli
196,Labor 196,Threshing (Manual & Machine),42,male,part-time,4.2,Hindi,Jalahalli Hobli
197,Labor 197,Winnowing and Cleaning,21,female,unavailable,3.5,Kannada,Yelahanka Hobli
198,Labor 198,Grading and Sorting,28,male,available,1.5,Telugu,Hebbal Hobli
199,Labor 199,"Storage (Grain Silos, Cold Storage)",38,male,part-time,3.9,Punjabi,Hennur Hobli
200,Labor 200,Tractor Operations,42,female,unavailable,3.4,Hindi,Banaswadi Hobli
201,Labor 201,Plowing/Harrowing,19,male,available,4,Kannada,Anekal Hobli
202,Labor 202,Seeding/Planting Attachments,44,female,part-time,3.1,Telugu,Koramangala Hobli
203,Labor 203,Trailer Handling,19,female,unavailable,3.5,Punjabi,Begur Hobli
204,Labor 204,Drip Irrigation Setup,39,female,available,2.8,Hindi,Banashankari Hobli
205,Labor 205,Sprinkler Operation,39,male,part-time,1.1,Kannada,Nazarabad Hobli
206,Labor 206,Pump Maintenance,55,male,unavailable,3.7,Telugu,Bannimantap Hobli
207,Labor 207,Combine Harvester Operation,43,female,available,4,Punjabi,Hinkal Hobli
208,Labor 208,Power Tiller Usage,20,male,part-time,1.8,Hindi,T. Narasipura Hobli
209,Labor 209,Thresher Operation,52,male,unavailable,3.2,Kannada,Nanjangud Hobli
210,Labor 210,Animal Husbandry,41,male,available,4.3,Telugu,Muddur Hobli
211,Labor 211,"Dairy Farming (Milking, Feed Management)",54,female,part-time,2.4,Punjabi,Kammalapura Hobli
212,Labor 212,"Poultry Care (Vaccination, Brooding)",34,female,unavailable,1.4,Hindi,Savadatti Hobli
213,Labor 213,Goat/Sheep Rearing,57,male,available,1.1,Kannada,Murgod Hobli
214,Labor 214,Fisheries,21,male,part-time,1.9,Telugu,Kakati Hobli
215,Labor 215,Pond Preparation,30,female,unavailable,3.9,Punjabi,Kittur Hobli
216,Labor 216,Fish Feeding Techniques,39,male,available,4.6,Hindi,Hukeri Hobli
217,Labor 217,Net Casting/Harvesting,45,female,part-time,3.5,Kannada,Chinchkheda Hobli
218,Labor 218,Organic Farming,45,male,unavailable,3.2,Telugu,Gokak Hobli
219,Labor 219,Vermicomposting,55,female,available,1.4,Punjabi,Kavoor Hobli
220,Labor 220,Biofertilizer Application,28,female,part-time,4.7,Hindi,Suratkal Hobli
221,Labor 221,"Natural Pest Control (Neem, Cow Urine)",54,male,unavailable,4.3,Kannada,Bajpe Hobli
222,Labor 222,Greenhouse Management,47,female,available,3.6,Telugu,Mulki Hobli
223,Labor 223,Polyhouse Maintenance,37,male,part-time,2.1,Punjabi,Puttur Hobli
224,Labor 224,Hydroponics/Aquaponics,36,male,unavailable,1.3,Hindi,Bellare Hobli
225,Labor 225,Agroforestry,42,female,available,2.1,Kannada,Kadaba Hobli
226,Labor 226,Sapling Planting,42,male,part-time,2.8,Telugu,Chikkamagaluru Hobli
227,Labor 227,Timber Harvesting,25,male,unavailable,4.8,Punjabi,Mudigere Hobli
228,Labor 228,Beekeeping (for Pollination),31,female,available,2.7,Hindi,Kadur Hobli
229,Labor 229,Irrigation Technician,20,male,part-time,2.1,Kannada,Tarikere Hobli
230,Labor 230,Land Leveler,19,male,unavailable,4.8,Telugu,Koppa Hobli
231,Labor 231,Crop Duster Operator,40,female,available,1,Punjabi,N.R. Pura Hobli
232,Labor 232,Harvesting Laborer,57,female,part-time,5,Hindi,Bhadravati Hobli
233,Labor 233,Seeder Operator,30,female,unavailable,4.2,Kannada,Tumkur Hobli
234,Labor 234,Fertilizer Applicator,32,male,available,3,Telugu,Sira Hobli
235,Labor 235,Soil Preparation Laborer,41,male,part-time,4.3,Punjabi,Madhugiri Hobli
236,Labor 236,Weeder,28,female,unavailable,1.5,Hindi,Pavagada Hobli
237,Labor 237,Farm Laborer,31,male,available,1.5,Kannada,Tiptur Hobli
238,Labor 238,Livestock Caretaker,18,female,part-time,1.2,Telugu,Gubbi Hobli
239,Labor 239,Water Carrier,34,female,unavailable,4.6,Punjabi,Kunigal Hobli
240,Labor 240,Plowing (Traditional & Tractor),22,female,available,4,Hindi,Karwar Hobli
241,Labor 241,Leveling and Soil Tillage,31,male,part-time,4.3,Kannada,Bhatkal Hobli
242,Labor 242,Composting/Manure Application,18,female,unavailable,4.4,Telugu,Kumta Hobli
243,Labor 243,Mulching Techniques,40,male,available,1,Punjabi,Honavar Hobli
244,Labor 244,Seed Sowing (Manual & Machine),47,male,part-time,4.7,Hindi,Honavar Hobli
245,Labor 245,"Seedling Transplantation (Paddy, Vegetables)",38,female,unavailable,2.4,Kannada,Jalahalli Hobli
246,Labor 246,Nursery Management,21,male,available,2.7,Telugu,Yelahanka Hobli
247,Labor 247,Seed Treatment,24,male,part-time,4.9,Punjabi,Hebbal Hobli
248,Labor 248,"Weeding (Manual, Chemical, Mechanical)",34,male,unavailable,4.8,Hindi,Hennur Hobli
249,Labor 249,"Fertilizer Application (DAP, Urea, Organic)",49,female,available,3.9,Kannada,Banaswadi Hobli
250,Labor 250,Pest/Disease Identification & Management,30,male,part-time,2.9,Telugu,Anekal Hobli
251,Labor 251,"Pruning and Training (Fruit Trees, Vineyards)",43,male,unavailable,3.9,Punjabi,Koramangala Hobli
252,Labor 252,"Grain Harvesting (Wheat, Rice, Maize)",24,female,available,2.2,Hindi,Begur Hobli
253,Labor 253,"Fruit Picking (Mango, Banana, Citrus)",56,female,part-time,4.8,Kannada,Banashankari Hobli
254,Labor 254,"Vegetable Harvesting (Tomato, Onion, Potato)",24,female,unavailable,1.5,Telugu,Nazarabad Hobli
255,Labor 255,Tea/Coffee Plucking,56,male,available,4.9,Punjabi,Bannimantap Hobli
256,Labor 256,Threshing (Manual & Machine),38,male,part-time,4.4,Hindi,Hinkal Hobli
257,Labor 257,Winnowing and Cleaning,53,female,unavailable,3.4,Kannada,T. Narasipura Hobli
258,Labor 258,Grading and Sorting,26,male,available,1.3,Telugu,Nanjangud Hobli
259,Labor 259,"Storage (Grain Silos, Cold Storage)",58,male,part-time,3.3,Punjabi,Muddur Hobli
260,Labor 260,Tractor Operations,38,female,unavailable,3.9,Hindi,Kammalapura Hobli
261,Labor 261,Plowing/Harrowing,49,female,available,2.5,Kannada,Savadatti Hobli
262,Labor 262,Seeding/Planting Attachments,33,female,part-time,4.9,Telugu,Murgod Hobli
263,Labor 263,Trailer Handling,19,male,unavailable,1.5,Punjabi,Kakati Hobli
264,Labor 264,Drip Irrigation Setup,54,female,available,1.1,Hindi,Kittur Hobli
265,Labor 265,Sprinkler Operation,34,female,part-time,4.4,Kannada,Hukeri Hobli
266,Labor 266,Pump Maintenance,53,female,unavailable,3.4,Telugu,Chinchkheda Hobli
267,Labor 267,Combine Harvester Operation,22,female,available,3.5,Punjabi,Gokak Hobli
268,Labor 268,Power Tiller Usage,51,female,part-time,3,Hindi,Kavoor Hobli
269,Labor 269,Thresher Operation,43,male,unavailable,3.3,Kannada,Suratkal Hobli
270,Labor 270,Animal Husbandry,38,female,available,3.8,Telugu,Bajpe Hobli
271,Labor 271,"Dairy Farming (Milking, Feed Management)",46,male,part-time,4.4,Punjabi,Mulki Hobli
272,Labor 272,"Poultry Care (Vaccination, Brooding)",49,male,unavailable,3.2,Hindi,Puttur Hobli
273,Labor 273,Goat/Sheep Rearing,31,female,available,2.8,Kannada,Bellare Hobli
274,Labor 274,Fisheries,46,female,part-time,4.5,Telugu,Kadaba Hobli
275,Labor 275,Pond Preparation,38,female,unavailable,1.7,Punjabi,Chikkamagaluru Hobli
276,Labor 276,Fish Feeding Techniques,47,female,available,3,Hindi,Mudigere Hobli
277,Labor 277,Net Casting/Harvesting,52,female,part-time,2,Kannada,Kadur Hobli
278,Labor 278,Organic Farming,45,male,unavailable,3,Telugu,Tarikere Hobli
279,Labor 279,Vermicomposting,60,male,available,2.4,Punjabi,Koppa Hobli
280,Labor 280,Biofertilizer Application,33,female,part-time,4.1,Hindi,N.R. Pura Hobli
281,Labor 281,"Natural Pest Control (Neem, Cow Urine)",41,male,unavailable,3.4,Kannada,Bhadravati Hobli
282,Labor 282,Greenhouse Management,44,male,available,3.7,Telugu,Tumkur Hobli
283,Labor 283,Polyhouse Maintenance,39,male,part-time,3.1,Punjabi,Sira Hobli
284,Labor 284,Hydroponics/Aquaponics,37,female,unavailable,1.7,Hindi,Madhugiri Hobli
285,Labor 285,Agroforestry,51,male,available,3,Kannada,Pavagada Hobli
286,Labor 286,Sapling Planting,34,male,part-time,5,Telugu,Tiptur Hobli
287,Labor 287,Timber Harvesting,47,male,unavailable,2.3,Punjabi,Gubbi Hobli
288,Labor 288,Beekeeping (for Pollination),26,female,available,2.3,Hindi,Kunigal Hobli
289,Labor 289,Irrigation Technician,49,female,part-time,4.7,Kannada,Karwar Hobli
290,Labor 290,Land Leveler,49,female,unavailable,1.6,Telugu,Bhatkal Hobli
291,Labor 291,Crop Duster Operator,26,female,available,1.5,Punjabi,Kumta Hobli
292,Labor 292,Harvesting Laborer,59,female,part-time,3.4,Hindi,Honavar Hobli
293,Labor 293,Seeder Operator,38,female,unavailable,2.6,Kannada,Honavar Hobli
294,Labor 294,Fertilizer Applicator,32,male,available,1.8,Telugu,Jalahalli Hobli
295,Labor 295,Soil Preparation Laborer,48,female,part-time,2.8,Punjabi,Yelahanka Hobli
296,Labor 296,Weeder,41,male,unavailable,2.4,Hindi,Hebbal Hobli
